threshold,mse,psnr,ssim,ae,acc,f1,prec,rec,spec,dice,iou,ck,roc_auc,loss
0.0,0.9248355031013489,0.3393550515174866,,0.9421075582504272,0.14980702102184296,0.24031752347946167,0.1367110311985016,0.9924336671829224,0.01773536391556263,1.0,0.13656869530677795,0.002794325351715088,0.4992883503437042,0.4624175683967769
0.0,0.9384803175926208,0.27574828267097473,0.004625813569873571,0.9514769911766052,0.1122797429561615,0.20170381665229797,0.11216387897729874,0.9999972581863403,0.00014702806947752833,1.0,0.11216384172439575,3.230571746826172e-05,0.5000721216201782,0.46923998489975927
0.0,0.9153385162353516,0.3841826021671295,,0.9339403510093689,0.16434246301651,0.2627275884151459,0.15138761699199677,0.9931593537330627,0.018173418939113617,1.0,0.15122991800308228,0.003444850444793701,0.49978190660476685,0.4576692194212228
0.1,0.5357718467712402,2.7102010250091553,,0.5530442595481873,0.4547940492630005,0.22043156623840332,0.1367010772228241,0.5688669681549072,0.43691447377204895,1.0,0.12386798113584518,0.0024781227111816406,0.49748924374580383,0.26788583959452805
0.1,0.552924633026123,2.573340654373169,0.12361472100019455,0.5659213066101074,0.46322792768478394,0.23706740140914917,0.14101114869117737,0.7436151504516602,0.4278106093406677,1.0,0.13447332382202148,0.05979645252227783,0.5857129096984863,0.2764622167276684
0.1,0.43796923756599426,3.5855636596679688,,0.45657092332839966,0.5511922836303711,0.2756906747817993,0.18184137344360352,0.5697329044342041,0.5479224920272827,1.0,0.15988470613956451,0.0626336932182312,0.5579224228858948,0.21898456729366444
0.2,0.12802039086818695,8.92720890045166,,0.14529292285442352,0.7805932760238647,0.13110627233982086,0.1414632797241211,0.1221623420715332,0.883794367313385,1.0,0.07015180587768555,0.0063204169273376465,0.5005449652671814,0.06401020206307294
0.2,0.15154877305030823,8.194475173950195,0.5255045294761658,0.164545476436615,0.8025863766670227,0.24385438859462738,0.21374300122261047,0.28384092450141907,0.8681120276451111,1.0,0.13885772228240967,0.13291144371032715,0.5759764313697815,0.07577437488944269
0.2,0.07014879584312439,11.53979778289795,,0.0887504294514656,0.8322017192840576,0.20025967061519623,0.35075047612190247,0.14013445377349854,0.9542538523674011,1.0,0.11127141863107681,0.1253974437713623,0.5476328134536743,0.035074391071393624
0.30000000000000004,0.04606199264526367,13.366572380065918,,0.06333448737859726,0.8486128449440002,0.05030880123376846,0.16772618889808655,0.029592473059892654,0.976984441280365,1.0,0.025803470984101295,0.010075569152832031,0.5028045773506165,0.023030999023196847
0.30000000000000004,0.051949769258499146,12.844162940979004,0.7842311263084412,0.0649464800953865,0.8771441578865051,0.10399281233549118,0.2855752408504486,0.06357119977474213,0.979911208152771,1.0,0.0548483207821846,0.0658423900604248,0.5217412114143372,0.02597488776431419
0.30000000000000004,0.036072999238967896,14.428176879882812,,0.0546746551990509,0.8505670428276062,0.06190482899546623,0.5259301066398621,0.032887961715459824,0.9947718381881714,1.0,0.031941067427396774,0.04505360126495361,0.514073371887207,0.018036500290347823
0.4,0.029096798971295357,15.361546516418457,,0.046369295567274094,0.8623144626617432,0.009535434655845165,0.188765749335289,0.004891257267445326,0.9967052936553955,1.0,0.004790557082742453,0.00270920991897583,0.5007686614990234,0.014548398668214424
0.4,0.03689805418252945,14.329964637756348,0.8483087420463562,0.04989476129412651,0.8869172930717468,0.01453400868922472,0.3205983638763428,0.0074355462566018105,0.9980096817016602,1.0,0.0073202005587518215,0.009498059749603271,0.5027225613594055,0.018449029616313055
0.4,0.03397408127784729,14.688522338867188,,0.05257576331496239,0.8495703339576721,0.009135176427662373,0.3654530346393585,0.004625398200005293,0.9985835552215576,1.0,0.004588546697050333,0.005407869815826416,0.5016521215438843,0.016987041302366043
0.5,0.026431340724229813,15.778807640075684,,0.043703842908144,0.864408016204834,0.00047298421850427985,0.20552296936511993,0.0002367645502090454,0.9998565316200256,1.0,0.00023654804681427777,0.00016117095947265625,0.5000478625297546,0.013215671821765347
0.5,0.03545228764414787,14.503556251525879,0.8574995994567871,0.04844902455806732,0.887809157371521,0.000409894302720204,0.2633187770843506,0.00020510678587015718,0.9999274611473083,1.0,0.0002049891627393663,0.0002353191375732422,0.500066339969635,0.01772615455498453
0.5,0.03309468552470207,14.802416801452637,,0.051696375012397766,0.8500362634658813,0.0003427794435992837,0.26767274737358093,0.0001714995305519551,0.9999172687530518,1.0,0.00017141910211648792,0.00015079975128173828,0.5000481605529785,0.016547347476646455
0.6000000000000001,0.02630872093141079,15.799001693725586,,0.04358122497797012,0.8644999861717224,0.0,0.0,0.0,1.0,1.0,0.0,-1.1920928955078125e-07,0.5,0.013154363290762042
0.6000000000000001,0.03539636731147766,14.510412216186523,0.857957661151886,0.04839310795068741,0.8878505229949951,0.0,0.0,0.0,1.0,1.0,0.0,5.960464477539063e-08,0.5,0.01769819359848043
0.6000000000000001,0.033030685037374496,14.810823440551758,,0.051632385700941086,0.8500808477401733,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.01651534774048071
0.7000000000000001,0.02630872093141079,15.799001693725586,,0.04358122497797012,0.8644999861717224,0.0,0.0,0.0,1.0,1.0,0.0,-1.1920928955078125e-07,0.5,0.01315436329269017
0.7000000000000001,0.03539636731147766,14.510412216186523,0.857957661151886,0.04839310795068741,0.8878505229949951,0.0,0.0,0.0,1.0,1.0,0.0,5.960464477539063e-08,0.5,0.01769819354842184
0.7000000000000001,0.033030685037374496,14.810823440551758,,0.051632385700941086,0.8500808477401733,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.016515347932274955
0.8,0.02630872093141079,15.799001693725586,,0.04358122497797012,0.8644999861717224,0.0,0.0,0.0,1.0,1.0,0.0,-1.1920928955078125e-07,0.5,0.01315436328905219
0.8,0.03539636731147766,14.510412216186523,0.857957661151886,0.04839310795068741,0.8878505229949951,0.0,0.0,0.0,1.0,1.0,0.0,5.960464477539063e-08,0.5,0.017698193680262195
0.8,0.033030685037374496,14.810823440551758,,0.051632385700941086,0.8500808477401733,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.01651534778384542
0.9,0.02630872093141079,15.799001693725586,,0.04358122497797012,0.8644999861717224,0.0,0.0,0.0,1.0,1.0,0.0,-1.1920928955078125e-07,0.5,0.013154363254418633
0.9,0.03539636731147766,14.510412216186523,0.857957661151886,0.04839310795068741,0.8878505229949951,0.0,0.0,0.0,1.0,1.0,0.0,5.960464477539063e-08,0.5,0.01769819361215923
0.9,0.033030685037374496,14.810823440551758,,0.051632385700941086,0.8500808477401733,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.01651534782313559
